INFO  - 2015-04-20 18:46:29.034; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2015-04-20 18:46:29.056; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor /Users/jeff/Documents/workspace/dupcustomer/solr/server/contexts at interval 0
INFO  - 2015-04-20 18:46:29.060; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: /Users/jeff/Documents/workspace/dupcustomer/solr/server/contexts/solr-jetty-context.xml
INFO  - 2015-04-20 18:46:29.153; org.eclipse.jetty.webapp.WebInfConfiguration; Extract jar:file:/Users/jeff/Documents/workspace/dupcustomer/solr/server/webapps/solr.war!/ to /Users/jeff/Documents/workspace/dupcustomer/solr/server/solr-webapp/webapp
INFO  - 2015-04-20 18:46:30.633; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2015-04-20 18:46:30.684; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()WebAppClassLoader=710239027@2a556333
INFO  - 2015-04-20 18:46:30.695; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2015-04-20 18:46:30.695; org.apache.solr.core.SolrResourceLoader; using system property solr.solr.home: /Users/jeff/Documents/workspace/dupcustomer/solr/server/solr
INFO  - 2015-04-20 18:46:30.696; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/Users/jeff/Documents/workspace/dupcustomer/solr/server/solr/'
INFO  - 2015-04-20 18:46:30.835; org.apache.solr.core.ConfigSolr; Loading container configuration from /Users/jeff/Documents/workspace/dupcustomer/solr/server/solr/solr.xml
INFO  - 2015-04-20 18:46:30.895; org.apache.solr.core.CorePropertiesLocator; Config-defined core root directory: /Users/jeff/Documents/workspace/dupcustomer/solr/server/solr
INFO  - 2015-04-20 18:46:30.901; org.apache.solr.core.CoreContainer; New CoreContainer 850551034
INFO  - 2015-04-20 18:46:30.902; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=/Users/jeff/Documents/workspace/dupcustomer/solr/server/solr/]
INFO  - 2015-04-20 18:46:30.911; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 600000
INFO  - 2015-04-20 18:46:30.912; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: null
